értékelt mondat,elsődleges szándék név,elsődleges szándék érték,paraméter név,paraméter érték,többi szándék
"Évfordulónkra rendeltem térképet, amin el lett írva a barátom neve, úgyhogy szeretném, ha küldenétek egy másikat.
",complaint,100.00%,"[('térképet', 'PRODUCT'), ('barátom', 'GENDERROLE'), ('másikat', 'PRODUCT')]","['évfordulónkra', 'térkép', 'barát', 'név', 'másik']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}]"
"A kiszállított térkép üvege össze van karcolva, szeretném, ha küldenének helyette másikat.
",order_modification,100.00%,[],"['kiszállított', 'térkép', 'üveg']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Elképzelhető, hogy a szállítás során a közös kézszobraink megrongálódtak, kicsomagolásnál már az ujjak hiányoztak. Remélem tudnak küldeni másikat
",complaint,61.71%,"[('közös', 'GENDERROLE')]","['elképzelhető', 'szállítás', 'sor', 'közös', 'kézszobra', 'kicsomagolás', 'ujj', '\n']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '38.29%'}]"
"Karácsonyra családi kézszobor szettet rendeltem, de páros szettet kaptam. Szeretném, ha küldenének egy családit.
",complaint,99.95%,"[('Karácsonyra', 'OCCASION'), ('családit', 'PRODUCT')]","['karácsony', 'családi', 'kézszobor', 'szett', 'páros', 'szett']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.05%'}, {'name': 'order_modification', 'percentage': '0.00%'}]"
"Ezek a rózsamacik elég rossz minőségűek, ilyet a feleségemnek nem adnék át, csak remélni tudom, hogy van más terméketek, ami nem ilyen silány, szeretném kicserélni a 2 szívpárnára
",order_modification,99.83%,"[('rózsamacik', 'GENDERROLE'), ('feleségemnek', 'GENDERROLE')]","['rózsamacik', 'rossz', 'minőségű', 'feleség', 'terméket', 'silány', 'szívpárn']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.17%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Megkaptuk a térképet, de nem tetszik. Azt olvastam, hogy van rá lehetőség, hogy a terméket kicserélik. Küldjetek ezért a 7 ezer forintért bármit, ami népszerű nálatok
",complaint,99.99%,"[('térképet', 'PRODUCT'), ('terméket', 'GENDERROLE')]","['térkép', 'lehetőség', 'termék', 'forint', 'népszerű', 'nálat']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.01%'}]"
"Anyák napjára rendeltem egy rózsaszín rózsamacit, de nem érkezett meg, úgyhogy szeretném a pénz visszakapni.
",order,99.96%,"[('rózsaszín', 'PRODUCTCOLOR'), ('rózsamacit', 'PRODUCT'), ('pénz', 'GENDERROLE')]","['anya', 'nap', 'rózsaszín', 'rózsamaci', 'pénz']","[{'name': 'information', 'percentage': '0.04%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Ezek a kézszobrok ocsmányak. Karácsonyra rendeltük, de ha lehetséges, akkor vigyétek vissza és utaljátok vissza az árát
",order_modification,97.37%,"[('kézszobrok', 'GENDERROLE'), ('Karácsonyra rendeltük', 'OCCASION')]","['kézszobr', 'ocsmány', 'karácsony', 'lehetséges', 'ár']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.16%'}, {'name': 'complaint', 'percentage': '2.47%'}]"
"Diszcsomagolással kiszállítottak valamit a feleségemnek, ami első sorban nem egy örökrózsacsokor volt, amit rendeltem, másodszor pedig a csomagolás meg volt nyomódva.
",complaint,91.77%,"[('feleségemnek', 'GENDERROLE'), ('örökrózsacsokor', 'PRODUCTCOLOR')]","['diszcsomagolás', 'feleség', 'első', 'sor', 'örökrózsacsokor', 'csomagolás']","[{'name': 'information', 'percentage': '2.10%'}, {'name': 'order', 'percentage': '6.13%'}, {'name': 'order_modification', 'percentage': '0.00%'}]"
"Hibás terméket kaptam, mit tehetek?
",complaint,100.00%,[],"['hibás', 'termék', '\n']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}]"
"Mit tegyek a hibásan kapott termékemmel?
",order_modification,100.00%,[],"['hibás', 'kapott', 'termék', '\n']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Nem jött meg a rózsamaci, amit rendeltem.
",order,61.66%,"[('rózsamaci', 'PRODUCT')]","['rózsamaci', '\n']","[{'name': 'information', 'percentage': '38.02%'}, {'name': 'order_modification', 'percentage': '0.32%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Nem egy szál rózsára, hanem egy egész csokor piros rózsára van szükségem.
",information,95.37%,"[('rózsára', 'PRODUCT'), ('piros', 'PRODUCTCOLOR')]","['szál', 'rózsa', 'csokor', 'piros', 'rózsa', 'szükség']","[{'name': 'order', 'percentage': '4.33%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.29%'}]"
"Szállítás közben elszakadt a kék rózsamaci, amit rendeltem. Nem is értem. Tudtok másikat küldeni? A megrendelés számra nem emlékszek.
",complaint,99.92%,"[('kék', 'PRODUCTCOLOR'), ('rózsamaci', 'PRODUCT')]","['szállítás', 'kék', 'rózsamaci', 'megrendelés', 'szám', '\n']","[{'name': 'information', 'percentage': '0.05%'}, {'name': 'order', 'percentage': '0.03%'}, {'name': 'order_modification', 'percentage': '0.00%'}]"
"15 db rózsamacit rendeltem és eggyel kevesebbet kaptam, de mindet kifizettem. Szeretném megkapni, elküldenétek nekem?
",complaint,72.41%,"[('rózsamacit', 'PRODUCT')]","['db', 'rózsamaci', 'kevesebb']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '27.59%'}]"
"2 db kézszobrot rendeltem a barátom névnapjára, rajta a nevével, de nem az ő neve szerepel rajta. Kifizettem a termékeket és sajnos utána vettem észre. Küldenének helyette másik terméket Mihály Laci névvel?
",order_modification,100.00%,"[('kézszobrot', 'PRODUCT'), ('barátom', 'GENDERROLE'), ('névnapjára', 'OCCASION')]","['db', 'kézszobor', 'barát', 'névnap', 'név', 'név', 'termék', 'ész', 'termék', 'mihály', 'laci', 'név']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"15 db hímzett törölközőt rendeltem és 1 nem rózsaszín. Kérem cseréljék ki a tévesen küldöttet.
",order_modification,100.00%,"[('hímzett', 'PRODUCTCOLOR'), ('rózsaszín', 'PRODUCT'), ('tévesen', 'GENDERROLE')]","['db', 'hímzett', 'törölköző', 'rózsaszín', 'téves', 'küldött']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"15 db hímzett törölközőt rendeltem és eggyel kevesebbet kaptam, de mindet kifizettem. Szeretném megkapni, elküldenétek nekem?
",order_modification,100.00%,"[('hímzett', 'PRODUCTCOLOR')]","['db', 'hímzett', 'törölköző', 'kevesebb']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"1db kerti törpét kaptam a 3 db helyett, de ki kellett fizetnem. Kérem vissza a pénzem.
",complaint,100.00%,"[('helyett', 'PRODUCT')]","['kerti', 'törpe', 'pénz']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}]"
